# r, topo
7.812500000000000000e-03,1.180912058731323211e-01
2.343750000000000000e-02,1.171475011812829065e-01
3.906250000000000000e-02,1.154103069776835494e-01
5.468750000000000000e-02,1.128332642950668069e-01
7.031250000000000000e-02,1.094940397700186752e-01
8.593750000000000000e-02,1.054970259932564852e-01
1.015625000000000000e-01,1.009566326564044492e-01
1.171875000000000000e-01,9.599279436094516893e-02
1.328125000000000000e-01,9.072636239276873904e-02
1.484375000000000000e-01,8.527436614932575043e-02
1.640625000000000000e-01,7.974564529951501390e-02
1.796875000000000000e-01,7.423731622689612453e-02
1.953125000000000000e-01,6.883232510841369445e-02
2.109375000000000000e-01,6.359815626428816371e-02
2.265625000000000000e-01,5.858662245992062034e-02
2.421875000000000000e-01,5.383456479583095811e-02
2.578125000000000000e-01,4.936523479758039151e-02
2.734375000000000000e-01,4.519011631997782441e-02
2.890625000000000000e-01,4.131096144825748689e-02
3.046875000000000000e-01,3.772185185565812143e-02
3.203125000000000000e-01,3.441114425649599573e-02
3.359375000000000000e-01,3.136320675245539424e-02
3.515625000000000000e-01,2.855989584924658112e-02
3.671875000000000000e-01,2.598175837767839266e-02
3.828125000000000000e-01,2.360896746814721350e-02
3.984375000000000000e-01,2.142201768777047058e-02
4.140625000000000000e-01,1.940221294081318631e-02
4.296875000000000000e-01,1.753198357346356234e-02
4.453125000000000000e-01,1.579506808091221681e-02
4.609375000000000000e-01,1.417659139301225349e-02
4.765625000000000000e-01,1.266306707466627497e-02
4.921875000000000000e-01,1.124234573527767983e-02
5.078125000000000000e-01,9.903527018267922408e-03
5.234375000000000000e-01,8.636848024153974748e-03
5.390625000000000000e-01,7.433557027606439195e-03
5.546875000000000000e-01,6.285777885595064500e-03
5.703125000000000000e-01,5.186367536439696370e-03
5.859375000000000000e-01,4.128766359182967083e-03
6.015625000000000000e-01,3.106838790361264938e-03
6.171875000000000000e-01,2.114699384224659300e-03
6.328125000000000000e-01,1.146517389898654054e-03
6.484375000000000000e-01,1.962909034138040850e-04
6.640625000000000000e-01,-7.424201671877139058e-04
6.796875000000000000e-01,-1.676814451750639496e-03
6.953125000000000000e-01,-2.615235320056138752e-03
7.109375000000000000e-01,-3.567634046696281473e-03
7.265625000000000000e-01,-4.546116354014375326e-03
7.421875000000000000e-01,-5.565568556082968639e-03
7.578125000000000000e-01,-6.644340531309668452e-03
7.734375000000000000e-01,-7.804930302370582419e-03
7.890625000000000000e-01,-9.074563029867567521e-03
8.046875000000000000e-01,-1.048547872168201223e-02
8.203125000000000000e-01,-1.207463169497622127e-02
8.359375000000000000e-01,-1.388235953207380032e-02
8.515625000000000000e-01,-1.594941089494575706e-02
8.671875000000000000e-01,-1.831156683079325845e-02
8.828125000000000000e-01,-2.099102565921678182e-02
8.984375000000000000e-01,-2.398386237017446562e-02
9.140625000000000000e-01,-2.724341974882986059e-02
9.296875000000000000e-01,-3.066058656120430187e-02
9.453125000000000000e-01,-3.404261745010910001e-02
9.609375000000000000e-01,-3.709695078283087311e-02
9.765625000000000000e-01,-3.944597222716416524e-02
9.921875000000000000e-01,-4.071696340022419591e-02
