"Surface_heat_flux(Time), created by Plot Digitizer, 2.6.8"
"Date: 15/01/2020, 14:56:59"


53
Time,Surface_heat_flux
0.0217158,18.5714,
0.0386059,19.3516,
0.0772118,20.8426,
0.123056,21.6574,
0.166488,22.2989,
0.234048,22.8537,
0.313673,23.5298,
0.400536,23.9806,
0.504290,24.4834,
0.586327,25.0728,
0.690080,25.7316,
0.772118,26.3037,
0.842091,26.9452,
0.921716,27.6387,
0.991689,28.4015,
1.05684,29.1470,
1.11475,29.8752,
1.17507,30.5860,
1.24021,31.2968,
1.29571,32.0770,
1.35845,32.7705,
1.43324,33.5159,
1.50322,34.2268,
1.56836,34.8336,
1.66971,35.5444,
1.76863,35.9951,
1.89169,36.3766,
1.98579,36.4459,
2.10161,36.3939,
2.23432,36.1859,
2.32601,35.9951,
2.43700,35.6311,
2.53351,35.1976,
2.64933,34.6775,
2.74826,34.1921,
2.84718,33.7240,
2.95094,33.1692,
3.04263,32.6491,
3.13432,32.1463,
3.23083,31.6436,
3.33217,31.0368,
3.40938,30.6033,
3.50590,30.1006,
3.60000,29.5804,
3.68686,29.1123,
3.78338,28.6096,
3.88713,28.1241,
3.99330,27.5173,
4.09223,27.0839,
4.19839,26.6158,
4.29249,26.0784,
4.39142,25.6103,
4.48552,25.1942,
