"CMB_flux(Time), created by Plot Digitizer, 2.6.8"
"Date: 22/01/2020, 16:10:21"


62
Time,CMB_flux
0.0387843,67.2601,
0.0417713,65.2544,
0.0447691,62.5802,
0.0433335,60.0396,
0.0478084,57.3654,
0.0493237,55.0255,
0.0537856,53.1536,
0.0567845,50.4126,
0.0597791,47.9389,
0.0627813,44.9973,
0.0657726,42.7242,
0.0687639,40.4512,
0.0717628,37.7101,
0.0747585,35.1696,
0.0792269,32.8966,
0.0836975,30.4899,
0.0866866,28.3505,
0.0955939,25.6097,
0.100068,23.0024,
0.103056,20.9299,
0.113438,18.3228,
0.122339,15.9831,
0.132718,13.5765,
0.146047,11.4375,
0.160857,9.03116,
0.180100,6.55807,
0.208191,4.95442,
0.251052,3.41813,
0.302763,2.68443,
0.351508,2.61920,
0.415020,2.82189,
0.462286,2.95719,
0.509551,3.09248,
0.576012,3.62957,
0.630658,4.03254,
0.670534,4.36816,
0.732568,4.63767,
0.784262,4.97368,
0.834480,5.17593,
0.893556,5.64591,
0.948203,6.04888,
1.00433,6.31819,
1.05750,6.31997,
1.10477,6.58898,
1.15794,6.92504,
1.20816,6.92672,
1.27167,7.19628,
1.32042,7.13105,
1.36916,7.40011,
1.42529,7.40199,
1.47698,7.47057,
1.53311,7.47245,
1.59219,7.67499,
1.64980,7.67692,
1.70445,7.61189,
1.74877,7.74709,
1.81524,7.74931,
1.84921,7.68359,
1.89648,7.81888,
1.93193,7.75321,
1.96737,7.95497,
1.97771,7.88846,
